Iteration,Average Episodic Length,Average Episodic Return,Average Actor Loss,Average Critic Loss,Timesteps So Far,Iteration Time (secs)
1,96.0,-6.56,-0.0003426512,1.4555261,96,39.72
2,96.0,-7.8,0.0001447002,1.552216,192,22.26
3,96.0,-6.37,5.82377e-05,1.3419862,288,24.69
4,96.0,-6.87,-2.24014e-05,1.3751552,384,22.5
5,96.0,-6.42,-8.06009e-05,1.4453666,480,29.97
6,96.0,-5.6,-0.0005654156,0.92723346,576,22.34
7,96.0,-6.69,-0.0002382874,1.390582,672,21.43
8,96.0,-7.09,0.0006159424,1.5564464,768,26.18
9,96.0,-5.39,0.0002058943,0.8167957,864,29.08
10,96.0,-5.55,-0.0009770393,0.8171514,960,22.49
11,96.0,-5.01,0.000569733,0.6701654,1056,41.03
12,96.0,-7.59,-0.0005028884,1.4734079,1152,22.11
13,96.0,-4.91,0.0008663024,0.5060865,1248,27.82
14,96.0,-6.27,0.0007427136,0.92845565,1344,26.66
15,96.0,-7.01,0.0004658898,1.084916,1440,21.87
16,96.0,-6.08,-0.0002216002,0.557977,1536,21.89
17,96.0,-6.74,-0.0011430582,0.75757945,1632,27.24
18,96.0,-6.71,-0.004836819,0.65757763,1728,29.94
19,96.0,-6.02,-0.0007011354,0.2885868,1824,23.06
20,96.0,-8.15,-0.009151378,0.5556513,1920,29.4
21,96.0,-6.59,-0.0009042025,0.14521405,2016,43.54
22,96.0,-6.85,0.0017936667,0.15114917,2112,21.74
23,96.0,-5.61,-0.0030602615,0.25222006,2208,25.79
24,96.0,-6.15,-0.0001992762,0.19910157,2304,22.84
25,96.0,-7.22,-0.0018692454,0.17679125,2400,20.71
26,96.0,-6.26,-0.002630671,0.12734586,2496,21.02
27,96.0,-6.87,-0.004189714,0.17313865,2592,26.22
28,96.0,-7.08,0.000345544,0.16529736,2688,27.35
29,96.0,-6.88,-0.0016760987,0.39192253,2784,26.95
30,96.0,-6.54,-0.0028951645,0.20375004,2880,23.28
31,96.0,-5.59,-0.0021715364,0.15831782,2976,35.25
32,96.0,-6.75,-0.001375864,0.21411423,3072,27.34
33,96.0,-5.6,0.0002952298,0.05964917,3168,27.36
34,96.0,-6.26,2.91268e-05,0.29435545,3264,24.0
35,96.0,-6.79,-0.0015607855,0.32238194,3360,28.09
36,96.0,-7.87,-0.0017348347,0.403431,3456,28.11
37,96.0,-5.05,-0.0002367944,0.19943611,3552,32.18
38,96.0,-6.12,-0.0029036743,0.16816556,3648,28.71
39,96.0,-6.2,0.0001195411,0.19870546,3744,28.62
40,96.0,-7.86,-0.0038038432,0.35732213,3840,27.83
41,96.0,-4.72,0.0001519839,0.15766104,3936,37.85
42,96.0,-6.1,-0.0008943896,0.13187201,4032,23.18
43,96.0,-5.15,-0.0013555588,0.073365174,4128,25.6
44,96.0,-5.78,-0.0024463378,0.061472,4224,27.6
45,96.0,-6.11,0.0006593759,0.31279695,4320,30.05
46,96.0,-5.73,-3.00904e-05,0.34037334,4416,23.2
47,96.0,-7.31,5.3672e-05,0.37579453,4512,28.64
48,96.0,-6.66,-2.42551e-05,0.20301871,4608,20.88
49,96.0,-6.49,0.0002086739,0.16926424,4704,23.02
50,96.0,-4.88,-0.0002892057,0.18125875,4800,28.13
51,96.0,-5.45,0.0004021804,0.111271165,4896,35.74
52,96.0,-5.6,4.10219e-05,0.112633705,4992,30.41
53,96.0,-5.56,-0.0003572504,0.15619819,5088,22.82
54,96.0,-6.22,-0.0004209558,0.146754,5184,25.74
55,96.0,-6.56,0.0001311471,0.24268854,5280,26.45
56,96.0,-6.53,6.60698e-05,0.16898115,5376,21.18
57,96.0,-5.82,-0.0004001518,0.15141244,5472,29.69
58,96.0,-6.5,0.0001578967,0.21016303,5568,26.95
59,96.0,-5.97,-0.0001671364,0.11333922,5664,30.54
60,96.0,-5.15,-0.0011797587,0.11950588,5760,28.14
61,96.0,-4.2,-0.0004507303,0.17641975,5856,36.73
62,96.0,-5.71,5.9187e-06,0.13592128,5952,26.8
63,96.0,-6.41,-0.000932322,0.21630177,6048,21.91
64,96.0,-6.66,-0.0013374905,0.22676946,6144,25.15
65,96.0,-6.63,-0.00113796,0.20682362,6240,28.58
66,96.0,-8.92,0.0009795806,0.479738,6336,33.27
67,96.0,-5.97,-0.0003167212,0.18366353,6432,24.89
68,96.0,-5.69,-0.0011895855,0.097163714,6528,27.61
69,96.0,-5.83,-0.0043328665,0.17113934,6624,28.86
70,96.0,-6.08,-0.002959034,0.06416633,6720,25.8
71,96.0,-5.13,-0.0042599957,0.07135684,6816,41.56
72,96.0,-7.22,0.00131105,0.34983522,6912,28.19
73,96.0,-7.61,-0.0009128293,0.412006,7008,30.9
74,96.0,-5.36,-0.0004842996,0.123675086,7104,29.67
75,96.0,-7.36,0.0008312862,0.36100882,7200,31.55
76,96.0,-6.68,-0.0009536425,0.13070345,7296,26.12
