Iteration,Average Episodic Length,Average Episodic Return,Average Actor Loss,Average Critic Loss,Timesteps So Far,Iteration Time (secs)
1,128.0,-95.98,-0.000590978,196.14543,256,100.35
2,128.0,-87.65,8.01522e-05,164.65732,512,82.27
3,128.0,-89.99,-0.0009785626,195.43427,768,97.98
4,128.0,-89.31,5.57052e-05,181.81581,1024,85.03
5,128.0,-92.8,6.1072e-05,176.65141,1280,93.65
6,115.0,-60.94,-0.0002790642,136.38565,1510,110.75
7,128.0,-89.12,0.0001468353,186.84209,1766,98.95
8,128.0,-104.35,-7.33461e-05,247.76678,2022,90.35
9,128.0,-85.09,1.96688e-05,151.73723,2278,89.06
10,128.0,-74.82,-4.48376e-05,121.28601,2534,90.61
11,128.0,-86.06,-0.0006705027,152.95099,2790,112.59
12,128.0,-88.93,0.0003731674,165.68526,3046,96.95
13,128.0,-112.39,-8.69832e-05,274.7879,3302,94.35
14,128.0,-92.39,-0.0003876018,192.89326,3558,96.79
15,128.0,-84.87,-0.0004561728,146.55722,3814,90.15
16,128.0,-87.95,0.0001698606,159.61333,4070,111.98
17,128.0,-94.48,-8.06714e-05,175.78406,4326,99.44
18,128.0,-103.88,-0.0004094167,197.37134,4582,92.92
